Promt idx,Prompt,Actual Emotion,Predicted Emotion 1,Predicted Emotion 2,Predicted Emotion 3,Average Time 1,Average Time 2,Average Time 3,Accuracy Model 1,Accuracy Model 2,Accuracy Model 3,Gender,WAV File
19,What does the person in the video seem to be feeling emotionally?,neu,The person in the video seems to be feeling emotionally engaged or distressed.,"?
The person in the video appears to be feeling happy and content, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the person in the video seems to be in a positive emotional state.","It is difficult to determine the emotional state of the person in the video as they are not expressing any clear emotions. However, they appear to be focused on their phone and may be feeling engaged or interested in the content they are viewing.",0.107551227,0.167557773,0.031016418,0,0,0,F,Ses01F_impro01_F000
20,What is the mood of the person in this video?,neu,"The person in the video appears to be in a state of contemplation or concern, as indicated by their body language and facial expressions.","positive or negative?
The person in the video appears to be in a positive mood, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the mood of the person in this video is positive.","It is difficult to determine the mood of the person in the video as there is no clear indication of their emotions. However, they appear to be focused on their phone and are not interacting with anyone else in the video.",0.134360261,0.188200793,0.029011221,0,0,0,F,Ses01F_impro01_F000
21,What kind of emotion does the person in the video exhibit?,neu,"The person in the video exhibits a range of emotions, including sadness and distress.","?
The person in the video exhibits a range of emotions, including happiness, sadness, and frustration. At one point, the person is seen laughing and smiling, while at another point, they are seen crying and expressing frustration. Overall, the person in the video appears to be experiencing a mix of emotions throughout the video.",The person in the video does not exhibit any specific emotion.,0.119940996,0.189251989,0.015109721,0,0,0,F,Ses01F_impro01_F000
22,How would you summarize the emotion in this video?,neu,"The emotion in this video is one of engagement and concentration, as both individuals are deeply absorbed in their respective activities.","?
The video captures a range of emotions, from joy and excitement to sadness and frustration. The man in the video appears to be experiencing a mix of emotions throughout the video. Overall, the video portrays a range of emotions that viewers can relate to in their own lives.",The video does not provide enough information to determine the emotions of the people in the video.,0.105848179,0.181396791,0.018080457,0,0,0,F,Ses01F_impro01_F000
23,What does the body language and facial expression convey emotionally in this video?,neu,The body language and facial expression of the individuals in this video convey a sense of concentration or contemplation.,"?
The body language and facial expression of the woman in the video convey a sense of calmness and tranquility. She appears to be at peace with herself and the world around her. Her smile and relaxed posture suggest that she is enjoying the moment and feeling content. Overall, the video conveys a sense of peace and tranquility.","The body language and facial expressions of the man and woman in the video convey a sense of seriousness and focus. The man is holding a piece of paper and appears to be reading it intently, while the woman is looking at him with a serious expression. The man's facial expression is also serious, indicating that the content of the paper is important or requires their attention.",0.128333754,0.175123966,0.040535757,0,0,0,F,Ses01F_impro01_F000
24,Can you identify the emotional message in this video?,neu,"The video depicts a person on the left who seems to be in a state of contemplation or waiting, while the individual on the right is deeply engrossed in reading. The emotional message conveyed is one of contrast between anticipation and engagement with information.","?
The video aims to evoke a sense of empathy and compassion in the viewer. It highlights the importance of treating all individuals with kindness and respect, regardless of their background or circumstances. The emotional message of the video is to inspire viewers to make a positive impact in the world by treating others with kindness and compassion.",The video does not provide enough information to determine the emotional message.,0.12496882,0.17441748,0.016280934,0,0,0,F,Ses01F_impro01_F000
25,What emotion is the person on the left feeling?,neu,"The person on the left appears to be experiencing a strong emotional reaction, possibly sadness or distress.","?
The person on the left seems to be feeling a sense of calm and contentment. They are smiling and appear to be enjoying the moment. It's possible that they are feeling a sense of peace or tranquility, as they seem to be at ease in their surroundings. Overall, the person on the left seems to be in a good mood and enjoying the company of the person on the right.",The person on the left is feeling happy.,0.095217082,0.16395916,0.014355801,0,0,0,F,Ses01F_impro01_F000
26,"Please specify the predominant emotion shown in this video segment. Choose from: 'neu' (neutral), 'fru' (frustration), 'sad' (sadness), 'sur' (surprise), 'ang' (anger), 'hap' (happiness), 'exc' (excitement), 'fea' (fear), 'dis' (disgust), 'oth' (other). Only generate the emotion, no other text.",neu,neu,,'neu' (neutral),0.123621282,0.171636125,0.013850766,100,0,100,F,Ses01F_impro01_F000
27,"You are an expert in recognising emotions, what emotions are present here?",neu,"The woman appears to be in a state of contemplation or mild distress, indicated by her furrowed brows and the way she is clutching the paper. The man seems focused on his task, possibly indicating concentration or concern.","?
The person in the video appears to be experiencing a range of emotions, including happiness, sadness, and frustration. They are seen laughing and smiling at times, but also crying and expressing frustration at others. It's important to note that interpreting emotions from a video can be subjective and may not accurately reflect the person's true feelings.","As an expert in recognising emotions, I can see that the woman in the image is experiencing a sense of frustration or annoyance. This is evident from her facial expression and body language, which show signs of irritation. On the other hand, the man in the image appears to be feeling content or satisfied, as indicated by his relaxed posture and smile. The contrast between their emotions suggests a possible disagreement or conflict between them.",0.136036537,0.181302285,0.045632896,0,0,0,F,Ses01F_impro01_F000
28,Give a score for the emotion most present in this video,neu,"The video captures a sequence of interactions between two individuals, where the primary focus is on one person who appears to be listening intently. The emotion most present in this series of images seems to be concentration or attentiveness from the individual seated and facing forward. This inference is drawn from their posture, hand gestures, and facial expressions which suggest engagement with the conversation or activity at hand.",".
The emotion that is most present in this video is happiness. The man in the video is smiling and laughing, and his body language is relaxed and open. He seems to be enjoying himself and having a good time. Overall, the video conveys a sense of joy and positivity.",The emotion most present in this video is boredom. The woman and the man are both sitting in chairs and appear to be bored.,0.13879816,0.167633097,0.022592415,0,0,0,F,Ses01F_impro01_F000
29,What emotion do you think an expert would see in this video?,neu,"An expert would likely see a range of emotions in this video, from focus and determination to moments of confusion or contemplation.","?
I think an expert would see a mix of emotions in this video. On the one hand, there is a sense of calm and tranquility that comes from being surrounded by nature. On the other hand, there is a sense of adventure and excitement that comes from exploring new places and experiencing different cultures. Overall, I think an expert would see a complex mix of emotions in this video.","As an expert, I would say that the woman in the video appears to be angry.",0.101899511,0.184414726,0.018958948,0,0,0,F,Ses01F_impro01_F000
30,Describe the video,neu,"The video displays a split-screen format throughout its duration, with the left side showing an individual seated in what appears to be an office or classroom setting. This person is wearing a dark top and light-colored pants, and is captured in various poses including looking down, possibly at a document, and engaging in conversation. The right side of the screen shows another individual who is also engaged with papers, suggesting they are reading or reviewing something. Both individuals exhibit signs of attentiveness and engagement with their respective tasks. The background on both sides is neutral and nondescript, focusing attention on the actions of the subjects. There is no significant change in the environment or activities observed across the frames provided.","content. The video features a man speaking to the camera while standing in front of a microphone. He is wearing a suit and tie and appears to be delivering a speech or presentation. Throughout the video, the man continues to speak to the camera while standing in front of the microphone. There are no other people or objects visible in the video. The focus is solely on the man and his speech.","In the video, there are two people sitting in chairs. One of them is a woman wearing a black shirt, and the other is a man wearing a white shirt. The woman is holding a piece of paper in her hand, while the man is holding a clipboard. They seem to be engaged in some sort of activity or discussion.",0.166342355,0.171948219,0.038909767,100,0,0,F,Ses01F_impro01_F000
31,"What is the predominant emotion shown by the subject in this video segment? Please choose one of the following: adoration, amusement, anxiety, disgust, emphatic pain, fear, surprise",neu,The predominant emotion shown by the subject in this video segment is one of anxiety.,", or sadness. Please select one of the following: adoration, amusement, anxiety, disgust, emphatic pain, fear, surprise, or sadness. Please select one of the following: adoration, amusement, anxiety, disgust, emphatic pain, fear, surprise, or sadness. Please select one of the following: adoration, amusement, anxiety, disgust, emphatic pain, fear, surprise, or sadness. Please select one of the following: adoration, amusement, anxiety, disgust",emphatic pain,0.128243697,0.192688796,0.012796426,0,0,0,F,Ses01F_impro01_F000
32,"You are an expert in recognising emotions, please specify the predominant emotion shown in this video segment. Choose from: 'neu' (neutral), 'fru' (frustration), 'sad' (sadness), 'sur' (surprise), 'ang' (anger), 'hap' (happiness), 'exc' (excitement), 'fea' (fear), 'dis' (disgust), 'oth' (other). Only generate the emotion, no other text.",neu,neu,"Please specify the predominant emotion shown in this video segment. Choose from: 'neu' (neutral), 'fru' (frustration),'sad' (sadness),'sur' (surprise), 'ang' (anger), 'hap' (happiness), 'exc' (excitement), 'fea' (fear), 'dis' (disgust), 'oth' (other). Only generate the emotion, no other text. The predominant emotion shown in",'neu',0.123247757,0.192914211,0.013715914,100,100,100,F,Ses01F_impro01_F000
1,What is the emotion in this video?,neu,"The video captures a moment of intense emotion, as indicated by the body language and facial expressions of both individuals.","?
The emotion in this video appears to be one of joy and happiness. The woman in the video is smiling and laughing, and she seems to be having a good time. The man in the video is also smiling and laughing, and he seems to be enjoying himself as well. Overall, the video conveys a sense of happiness and enjoyment.",The video does not provide any information about the emotions of the people in the video.,0.132459208,0.126203421,0.023023544,0,0,0,F,Ses01F_impro01_F001
2,Please specify the predominant emotion shown in this video segment.,neu,"The predominant emotion displayed in this video segment is a sense of engagement and focus, as both individuals appear to be involved in a serious conversation or discussion.",,The predominant emotion shown in this video segment is surprise.,0.122986694,0.133809167,0.020377691,0,0,0,F,Ses01F_impro01_F001
3,How does the character feel in this video?,neu,The character appears to be in a state of discomfort or unease.,"?
The character in the video appears to be very happy and content. She is smiling and laughing throughout the video, and she seems to be enjoying herself. Overall, the character seems to be very happy and content in this video.",The video does not provide any information about the character's emotions or feelings.,0.130334549,0.109323624,0.022905893,0,0,0,F,Ses01F_impro01_F001
4,What is the main emotion displayed in this clip?,neu,The main emotion displayed in this clip is focused and attentive.,"?
?
The main emotion displayed in this clip is happiness and joy. The woman in the clip is seen laughing and enjoying herself, which conveys a sense of happiness and joy. Additionally, the presence of a dog in the clip adds to the sense of happiness and joy, as dogs are often associated with positive emotions and companionship. Overall, the clip conveys a sense of happiness and joy through the woman's laughter and the presence of the dog.","The main emotion displayed in this clip is anger. The woman is visibly angry and upset, and she expresses her emotions through her facial expressions and body language.",0.121535468,0.12961071,0.031337633,0,0,0,F,Ses01F_impro01_F001
5,Can you describe the emotion expressed in this video?,neu,"The video captures a moment of conversation between two individuals seated across from each other in an indoor setting. The person on the left is wearing a red top and black pants, while the person on the right is dressed in a light grey t-shirt and dark pants. Their body language suggests they are engaged in a serious discussion or interview, with the individual on the left leaning slightly forward, indicating attentiveness or interest in what the other is saying.","?
Yes, the video captures a range of emotions, including happiness, sadness, and surprise. The woman in the video is seen smiling and laughing, while another woman is seen crying. The man in the video is also seen smiling and laughing. Overall, the video captures a range of emotions that viewers can relate to.",The video does not provide enough information to determine the emotions expressed by the people in the video.,0.164688072,0.118148693,0.024572106,0,0,0,F,Ses01F_impro01_F001
6,What feelings are being portrayed in this video segment?,neu,"The video segment portrays feelings of discomfort or distress, as indicated by the woman's facial expressions and body language.","?
The video segment portrays a range of emotions, including happiness, sadness, and surprise. The woman in the video appears to be happy and content, while the man in the video appears to be sad and disappointed. The woman's smile and laughter convey a sense of joy and happiness, while the man's frown and frustration convey a sense of sadness and disappointment. The surprise on the woman's face when she sees the man's reaction adds an element of surprise to the video. Overall, the video",The video does not provide any information about the emotions or feelings of the people in the scene.,0.135276501,0.132540082,0.025168868,0,0,0,F,Ses01F_impro01_F001
7,How is the person in the video emotionally reacting?,neu,"The person in the video is showing a range of emotions, including attentiveness and surprise.","?
The person in the video appears to be happy and enjoying the experience of riding a horse. They are smiling and seem to be having a good time. The horse is also calm and well-behaved, which adds to the positive experience. Overall, the person in the video seems to be having a great time and enjoying the experience of horseback riding.",The video does not provide any information about the emotional state of the person in the video.,0.101121731,0.125548374,0.024900919,0,0,0,F,Ses01F_impro01_F001
8,What is the emotional tone of this video?,neu,The emotional tone of this video is somber.,"?
The emotional tone of this video is one of joy and celebration. The video captures a group of people coming together to celebrate a special occasion, and it conveys a sense of happiness and togetherness. The colors in the video are bright and vibrant, adding to the festive atmosphere. Overall, the video conveys a positive and uplifting message.",The video does not provide enough information to determine the emotional tone.,0.1259099,0.122196929,0.020814668,0,0,0,F,Ses01F_impro01_F001
9,What emotion is primarily displayed in this scene?,neu,The primary emotion displayed in this scene is sadness.,"?
The primary emotion displayed in this scene is happiness. The man and woman are laughing and enjoying each other's company, which suggests that they are having a good time and enjoying each other's company. The woman's smile and laughter indicate that she is happy and enjoying herself, while the man's smile and laughter suggest that he is also happy and enjoying himself. Overall, the scene conveys a sense of joy and happiness between the two individuals.","The primary emotion displayed in this scene is sadness. The woman is sitting in a chair with her hands on her knees, and her facial expression and body language suggest that she is feeling sad or down. The man is also sitting in a chair, but his emotions are not as clearly visible as the woman's.",0.102776378,0.134807975,0.04803952,0,0,0,F,Ses01F_impro01_F001
10,How does the person in the video seem to be feeling?,neu,"The person in the video seems to be feeling contemplative or pensive, as suggested by their body language and facial expressions.","Based on their facial expressions and body language, they appear to be happy and content. They are smiling and laughing, and their posture is relaxed and comfortable. Overall, the person in the video seems to be enjoying themselves and having a good time.","It is difficult to determine the person's emotions based solely on their appearance in the video. However, the person appears to be calm and relaxed, with no visible signs of distress or discomfort.",0.131413382,0.115812512,0.035005265,0,0,0,F,Ses01F_impro01_F001
11,What is the emotional state of the character in this video?,neu,The character in this video appears to be in a state of distress or contemplation.,"?
The character in the video appears to be in a state of shock or disbelief. This can be inferred from their facial expressions and body language, which suggest a strong emotional response to the events unfolding in the video.","It is difficult to determine the emotional state of the character in this video as there is no clear indication of their emotions. However, the character appears to be focused on the task at hand and is not displaying any obvious signs of distress or happiness.",0.123509108,0.107252986,0.041584026,0,0,0,F,Ses01F_impro01_F001
12,Can you identify the emotion shown in this video?,neu,"The video shows a woman in a red top and black skirt, seated with her hands clasped, showing a neutral to slightly serious expression.","?
The man in the video appears to be in a state of shock or disbelief. His facial expression and body language suggest that he is experiencing a strong emotional response to something he has seen or heard. It is possible that he is reacting to an unexpected event or piece of information that he was not prepared for. Overall, the video captures a moment of intense emotional experience for the man.",The video does not provide enough information to determine the emotions of the people in the video.,0.139328419,0.124025367,0.02532308,100,0,0,F,Ses01F_impro01_F001
13,What emotion is being conveyed by the person in this clip?,neu,The person in this clip is conveying a sense of distress or concern.,"?
The person in the clip seems to be expressing a strong emotion, possibly anger or frustration, as they are yelling into the camera. It is difficult to determine the exact emotion being conveyed without more context, but it is clear that the person is expressing a strong emotion.",The person in the video appears to be displaying a sense of happiness or contentment.,0.09970904,0.112135316,0.023384909,0,0,0,F,Ses01F_impro01_F001
14,How would you describe the mood of this video?,neu,The video has a static and calm mood with no significant action or movement.,"It seems to be a lighthearted and humorous take on the challenges of being a woman in a male-dominated world. The women in the video appear to be enjoying themselves and having a good time, which adds to the overall positive and uplifting tone of the video. Overall, the video seems to be a fun and entertaining way to explore the experiences of women in a male-dominated world.","The video has a calm and peaceful mood, with the man and woman sitting quietly and peacefully. The lighting in the room is dim, which adds to the serene atmosphere.",0.130181978,0.122965308,0.033048475,0,0,0,F,Ses01F_impro01_F001
15,What is the dominant emotion in this video?,neu,The dominant emotion in the video is calmness.,"?
The dominant emotion in this video is a sense of calm and tranquility. The video captures the beauty of nature and the peacefulness that can be found in it. The man in the video seems to be enjoying the moment and appreciating the natural beauty around him. Overall, the video conveys a sense of peace and tranquility.",It is difficult to determine the dominant emotion in this video as the people in the video do not show any strong emotions. They seem to be going about their business in a calm and collected manner.,0.099359912,0.121982375,0.037530367,0,0,0,F,Ses01F_impro01_F001
16,What emotions are noticeable in this video?,neu,"The individuals in the video display a range of emotions, including attentiveness and engagement.","?
The video captures a range of emotions, including happiness, sadness, and surprise. The woman in the video appears to be happy and content, while the man in the video seems to be sad and disappointed. The little girl in the video also appears to be happy and content. Overall, the video captures a range of emotions, including happiness, sadness, and surprise.",The video does not provide any information about the emotions of the people in the video.,0.131389551,0.171812762,0.026537596,0,0,0,F,Ses01F_impro01_F001
17,What is the emotional expression of the person in the video?,neu,"The person in the video appears to be in a state of contemplation or possibly distress, with their head bowed and eyes closed.","?
The person in the video appears to be very happy and content, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the person in the video appears to be very happy and content, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the person in the video appears to be very happy and content, as they are smiling and laughing throughout the video. They seem",The video does not provide any information about the emotional expression of the person in the video.,0.115159245,0.203362265,0.025130422,0,0,0,F,Ses01F_impro01_F001
18,Which emotion is the person in this video exhibiting?,neu,The person in this video appears to be exhibiting a neutral or contemplative emotion.,"?
The person in the video appears to be experiencing a range of emotions, including happiness, sadness, and frustration. It is difficult to pinpoint a specific emotion without more context, but the person's facial expressions and body language suggest that they are experiencing a mix of emotions.",The person in the video is exhibiting a neutral emotion.,0.128459553,0.181333059,0.02167399,100,0,100,F,Ses01F_impro01_F001
19,What does the person in the video seem to be feeling emotionally?,neu,"The person in the video seems to be experiencing an emotional reaction, possibly sadness or contemplation.","?
The person in the video appears to be feeling happy and content, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the person in the video seems to be in a positive emotional state.",It is difficult to determine the emotional state of the person in the video as they are not expressing any emotions that are visible to the viewer.,0.096417083,0.147882073,0.029667316,0,0,0,F,Ses01F_impro01_F001
20,What is the mood of the person in this video?,neu,The person in the video appears to be relaxed and engaged.,"positive or negative?
The person in the video appears to be in a positive mood, as they are smiling and laughing throughout the video. They seem to be enjoying themselves and having a good time. Overall, the mood of the person in this video is positive.",It is difficult to determine the mood of the person in the video as they are not expressing any emotions that are easily recognizable.,0.128835473,0.175689459,0.028219046,0,0,0,F,Ses01F_impro01_F001
21,What kind of emotion does the person in the video exhibit?,neu,"The person in the video exhibits a range of emotions, including surprise and contemplation.","?
The person in the video exhibits a range of emotions, including happiness, sadness, and frustration. At one point, the person is seen laughing and smiling, while at another point, they are seen crying and expressing frustration. Overall, the person in the video appears to be experiencing a mix of emotions throughout the video.",The person in the video appears to be happy and smiling in both scenes.,0.09344946,0.183919646,0.022709741,0,0,0,F,Ses01F_impro01_F001
22,How would you summarize the emotion in this video?,neu,The emotion in this video is a mix of contemplation and slight disinterest.,"?
The video captures a range of emotions, from joy and excitement to sadness and frustration. The man in the video appears to be experiencing a mix of emotions throughout the video. Overall, the video portrays a range of emotions that viewers can relate to in their own lives.",The video does not provide enough information to determine the emotions of the people in the video.,0.132265546,0.140692073,0.024520902,0,0,0,F,Ses01F_impro01_F001
23,What does the body language and facial expression convey emotionally in this video?,neu,"The body language and facial expression of the woman convey a sense of engagement, while her posture is relaxed. The man appears to be listening intently or reflecting on what's being said.","?
The body language and facial expression of the woman in the video convey a sense of calmness and tranquility. She appears to be at peace with herself and the world around her. Her smile and relaxed posture suggest that she is enjoying the moment and feeling content. Overall, the video conveys a sense of peace and tranquility.","The body language and facial expression of the man and woman in the video convey a sense of calmness and relaxation. The man is sitting with his hands on his lap, and the woman is sitting with her hands on her lap as well. Both of them are looking straight ahead, and their facial expressions are neutral, indicating that they are not experiencing any strong emotions.",0.105402669,0.183155143,0.052625052,0,0,100,F,Ses01F_impro01_F001
24,Can you identify the emotional message in this video?,neu,"The video appears to be a conversation or interaction between two individuals, possibly discussing a topic of mutual interest. The woman's facial expressions and body language suggest that she is actively engaged in the conversation, while the man seems to be listening attentively.","?
The video aims to evoke a sense of empathy and compassion in the viewer. It highlights the importance of treating all individuals with kindness and respect, regardless of their background or circumstances. The emotional message of the video is to inspire viewers to make a positive impact in the world by treating others with kindness and compassion.",The video does not provide enough information to determine an emotional message. It only shows a man and a woman sitting in chairs and looking at each other.,0.148985314,0.182353247,0.031086073,0,0,0,F,Ses01F_impro01_F001
25,What emotion is the person on the left feeling?,neu,The person on the left appears to be experiencing distress or discomfort.,"?
The person on the left seems to be feeling a sense of calm and contentment. They are smiling and appear to be enjoying the moment. It's possible that they are feeling a sense of peace or tranquility, as they seem to be at ease in their surroundings. Overall, the person on the left seems to be in a good mood and enjoying the company of the person on the right.",The person on the left is feeling happy.,0.125607435,0.151951524,0.018801063,0,0,0,F,Ses01F_impro01_F001
