True Emotion,Predicted Emotion,Time Taken (s),Average Time(s),Count,Gender,Model Name,WAV File,Accuracy,,,,,,
exc,hap,23.35141969,0.131187751,178,F,MiniCPM-V-2_6,Ses01F_impro07_F012,0,,,,,,
exc,hap,37.23368192,0.209177988,178,F,sharegpt4video-8b,Ses01F_impro07_F012,0,,,,,,
exc,hap,2.493445158,0.014008119,178,F,VideoLLaMA2-7B,Ses01F_impro07_F012,0,,,,,,
exc,hap,26.23762989,0.120910737,217,F,MiniCPM-V-2_6,Ses01F_impro07_F013,0,,,,,,
exc,hap,46.20198631,0.212912379,217,F,sharegpt4video-8b,Ses01F_impro07_F013,0,,,,,,
exc,hap,3.354138374,0.015456859,217,F,VideoLLaMA2-7B,Ses01F_impro07_F013,0,,,,,,
xxx,hap,39.96146131,0.123719694,323,F,MiniCPM-V-2_6,Ses01F_impro07_F014,0,,,,,,
xxx,hap,66.75956059,0.206685946,323,F,sharegpt4video-8b,Ses01F_impro07_F014,0,,,,,,
xxx,hap,4.957431793,0.015348086,323,F,VideoLLaMA2-7B,Ses01F_impro07_F014,0,,,,,,
xxx,hap,11.390836,0.130929149,87,F,MiniCPM-V-2_6,Ses01F_impro07_F015,0,,,,,,
xxx,hap,19.30108976,0.221851606,87,F,sharegpt4video-8b,Ses01F_impro07_F015,0,,,,,,
xxx,hap,1.93432498,0.02223362,87,F,VideoLLaMA2-7B,Ses01F_impro07_F015,0,,,,,,
exc,hap,31.79103184,0.116878794,272,F,MiniCPM-V-2_6,Ses01F_impro07_F016,0,,,,,,
exc,hap,58.49783158,0.215065557,272,F,sharegpt4video-8b,Ses01F_impro07_F016,0,,,,,,
exc,hap,3.983990192,0.014647023,272,F,VideoLLaMA2-7B,Ses01F_impro07_F016,0,,,,,,
xxx,hap,6.251455545,0.12257756,51,M,MiniCPM-V-2_6,Ses01M_script03_2_M000,0,,,,,,
xxx,hap,11.03157544,0.216305401,51,M,sharegpt4video-8b,Ses01M_script03_2_M000,0,,,,,,
xxx,hap,0.975244761,0.019122446,51,M,VideoLLaMA2-7B,Ses01M_script03_2_M000,0,,,,,,
xxx,fru,7.45941782,0.130866979,57,M,MiniCPM-V-2_6,Ses01M_script03_2_M001,0,,,,,,
xxx,hap,12.16294122,0.213384934,57,M,sharegpt4video-8b,Ses01M_script03_2_M001,0,,,,,,
xxx,sad,0.933551311,0.016378093,57,M,VideoLLaMA2-7B,Ses01M_script03_2_M001,0,,,,,,
xxx,hap,8.794280767,0.135296627,65,M,MiniCPM-V-2_6,Ses01M_script03_2_M002,0,,,,,,
xxx,hap,15.70812297,0.24166343,65,M,sharegpt4video-8b,Ses01M_script03_2_M002,0,,,,,,
xxx,hap,1.206147194,0.018556111,65,M,VideoLLaMA2-7B,Ses01M_script03_2_M002,0,,,,,,
xxx,hap,19.48298836,0.121768677,160,M,MiniCPM-V-2_6,Ses01M_script03_2_M003,0,,,,,,
xxx,hap,34.68963122,0.216810195,160,M,sharegpt4video-8b,Ses01M_script03_2_M003,0,,,,,,
xxx,hap,2.869230032,0.017932688,160,M,VideoLLaMA2-7B,Ses01M_script03_2_M003,0,,,,,,
xxx,hap,18.14078951,0.125108893,145,M,MiniCPM-V-2_6,Ses01M_script03_2_M004,0,,,,,,
xxx,hap,31.41782475,0.216674653,145,M,sharegpt4video-8b,Ses01M_script03_2_M004,0,,,,,,
xxx,hap,2.61848402,0.01805851,145,M,VideoLLaMA2-7B,Ses01M_script03_2_M004,0,,,,,,
xxx,neu,15.63358951,0.132488047,118,M,MiniCPM-V-2_6,Ses01M_script03_2_M005,0,,,,,,
xxx,hap,23.25308728,0.197060062,118,M,sharegpt4video-8b,Ses01M_script03_2_M005,0,,,,,,
xxx,neu,1.900123358,0.01610274,118,M,VideoLLaMA2-7B,Ses01M_script03_2_M005,0,,,,,,
xxx,neu,23.11897635,0.13135782,176,M,MiniCPM-V-2_6,Ses01M_script03_2_M006,0,,,,,,
xxx,hap,35.31677651,0.200663503,176,M,sharegpt4video-8b,Ses01M_script03_2_M006,0,,,,,,
xxx,sad,2.870289803,0.016308465,176,M,VideoLLaMA2-7B,Ses01M_script03_2_M006,0,,,,,,
xxx,hap,20.80358601,0.130022413,160,M,MiniCPM-V-2_6,Ses01M_script03_2_M007,0,,,,,,
xxx,hap,32.43788242,0.202736765,160,M,sharegpt4video-8b,Ses01M_script03_2_M007,0,,,,,,
xxx,hap,2.727187395,0.017044921,160,M,VideoLLaMA2-7B,Ses01M_script03_2_M007,0,,,,,,
xxx,hap,8.894014359,0.128898759,69,M,MiniCPM-V-2_6,Ses01M_script03_2_M008,0,,,,,,
xxx,hap,15.75489879,0.228331866,69,M,sharegpt4video-8b,Ses01M_script03_2_M008,0,,,,,,
xxx,hap,1.39690423,0.020244989,69,M,VideoLLaMA2-7B,Ses01M_script03_2_M008,0,,,,,,
xxx,ang,12.06724191,0.127023599,95,M,MiniCPM-V-2_6,Ses01M_script03_2_M009,0,,,,,,
xxx,hap,19.7133522,0.207508971,95,M,sharegpt4video-8b,Ses01M_script03_2_M009,0,,,,,,
xxx,neu,1.578598261,0.016616824,95,M,VideoLLaMA2-7B,Ses01M_script03_2_M009,0,,,,,,
xxx,neu,10.8853302,0.107775547,101,M,MiniCPM-V-2_6,Ses01M_script03_2_M010,0,,,,,,
xxx,hap,21.96415448,0.217466876,101,M,sharegpt4video-8b,Ses01M_script03_2_M010,0,,,,,,
xxx,sad,1.8020823,0.017842399,101,M,VideoLLaMA2-7B,Ses01M_script03_2_M010,0,,,,,,
xxx,hap,26.95785856,0.127762363,211,M,MiniCPM-V-2_6,Ses01M_script03_2_M011,0,,,,,,
xxx,hap,43.33571553,0.205382538,211,M,sharegpt4video-8b,Ses01M_script03_2_M011,0,,,,,,
xxx,hap,3.478918314,0.016487765,211,M,VideoLLaMA2-7B,Ses01M_script03_2_M011,0,,,,,,
neu,hap,12.96698546,0.127127308,102,M,MiniCPM-V-2_6,Ses01M_script03_2_M012,0,,,,,,
neu,hap,21.54569459,0.2112323,102,M,sharegpt4video-8b,Ses01M_script03_2_M012,0,,,,,,
neu,hap,1.748114586,0.017138378,102,M,VideoLLaMA2-7B,Ses01M_script03_2_M012,0,,,,,,
neu,neu,22.88634825,0.122386889,187,M,MiniCPM-V-2_6,Ses01M_script03_2_M013,1,,,,,,
neu,"hap
",38.48729753,0.205814425,187,M,sharegpt4video-8b,Ses01M_script03_2_M013,0,,,,,,
neu,sad,2.907801151,0.015549739,187,M,VideoLLaMA2-7B,Ses01M_script03_2_M013,0,,,,,,
xxx,hap,30.24342823,0.122443029,247,M,MiniCPM-V-2_6,Ses01M_script03_2_M014,0,,,,,,
xxx,"hap
",50.0866394,0.202779917,247,M,sharegpt4video-8b,Ses01M_script03_2_M014,0,,,,,,
xxx,hap,3.859973192,0.015627422,247,M,VideoLLaMA2-7B,Ses01M_script03_2_M014,0,,,,,,
xxx,hap,26.00369525,0.130018476,200,M,MiniCPM-V-2_6,Ses01M_script03_2_M015,0,,,,,,
xxx,"hap
",40.01481557,0.200074078,200,M,sharegpt4video-8b,Ses01M_script03_2_M015,0,,,,,,
xxx,hap,3.254474878,0.016272374,200,M,VideoLLaMA2-7B,Ses01M_script03_2_M015,0,,,,,,
fru,hap,7.573348284,0.128361835,59,M,MiniCPM-V-2_6,Ses01M_script03_2_M016,0,,,,,,
fru,"hap
",12.6042347,0.213631097,59,M,sharegpt4video-8b,Ses01M_script03_2_M016,0,,,,,,
fru,hap,1.039134502,0.017612449,59,M,VideoLLaMA2-7B,Ses01M_script03_2_M016,0,,,,,,
fru,hap,13.11309743,0.128559779,102,M,MiniCPM-V-2_6,Ses01M_script03_2_M017,0,,,,,,
fru,"hap
",20.93841624,0.205278591,102,M,sharegpt4video-8b,Ses01M_script03_2_M017,0,,,,,,
fru,hap,1.68200779,0.016490272,102,M,VideoLLaMA2-7B,Ses01M_script03_2_M017,0,,,,,,
neu,hap,10.38924336,0.122226393,85,M,MiniCPM-V-2_6,Ses01M_script03_2_M018,0,,,,,,
neu,"hap
",18.95628929,0.223015168,85,M,sharegpt4video-8b,Ses01M_script03_2_M018,0,,,,,,
neu,hap,1.454613447,0.017113099,85,M,VideoLLaMA2-7B,Ses01M_script03_2_M018,0,,,,,,
xxx,fru,14.90795636,0.126338613,118,M,MiniCPM-V-2_6,Ses01M_script03_2_M019,0,,,,,,
xxx,"hap
",23.3462472,0.197849553,118,M,sharegpt4video-8b,Ses01M_script03_2_M019,0,,,,,,
xxx,sad,1.694214344,0.014357749,118,M,VideoLLaMA2-7B,Ses01M_script03_2_M019,0,,,,,,
xxx,hap,19.23248029,0.126529476,152,M,MiniCPM-V-2_6,Ses01M_script03_2_M020,0,,,,,,
xxx,"hap
",33.25104094,0.218756848,152,M,sharegpt4video-8b,Ses01M_script03_2_M020,0,,,,,,
xxx,hap,2.792874098,0.018374172,152,M,VideoLLaMA2-7B,Ses01M_script03_2_M020,0,,,,,,
xxx,hap,9.034387112,0.129062673,70,M,MiniCPM-V-2_6,Ses01M_script03_2_M021,0,,,,,,
xxx,"hap
",14.34731722,0.204961675,70,M,sharegpt4video-8b,Ses01M_script03_2_M021,0,,,,,,
xxx,hap,1.434117556,0.020487394,70,M,VideoLLaMA2-7B,Ses01M_script03_2_M021,0,,,,,,
ang,hap,25.2582736,0.128214587,197,M,MiniCPM-V-2_6,Ses01M_script03_2_M022,0,,,,,,
ang,"hap
",40.60101771,0.206096537,197,M,sharegpt4video-8b,Ses01M_script03_2_M022,0,,,,,,
ang,hap,3.292093992,0.016711137,197,M,VideoLLaMA2-7B,Ses01M_script03_2_M022,0,,,,,,
ang,hap,19.80251288,0.127758148,155,M,MiniCPM-V-2_6,Ses01M_script03_2_M023,0,,,,,,
ang,"hap
",30.96039653,0.199744494,155,M,sharegpt4video-8b,Ses01M_script03_2_M023,0,,,,,,
ang,hap,2.559906006,0.016515523,155,M,VideoLLaMA2-7B,Ses01M_script03_2_M023,0,,,,,,
ang,hap,21.98327541,0.129313385,170,M,MiniCPM-V-2_6,Ses01M_script03_2_M024,0,,,,,,
ang,"hap
",35.26738906,0.20745523,170,M,sharegpt4video-8b,Ses01M_script03_2_M024,0,,,,,,
ang,hap,2.474516869,0.014555982,170,M,VideoLLaMA2-7B,Ses01M_script03_2_M024,0,,,,,,
ang,hap,14.51369667,0.128439794,113,M,MiniCPM-V-2_6,Ses01M_script03_2_M025,0,,,,,,
ang,"hap
",23.99885106,0.212379213,113,M,sharegpt4video-8b,Ses01M_script03_2_M025,0,,,,,,
ang,hap,1.840540171,0.016287966,113,M,VideoLLaMA2-7B,Ses01M_script03_2_M025,0,,,,,,
ang,hap,15.13403416,0.128254527,118,M,MiniCPM-V-2_6,Ses01M_script03_2_M026,0,,,,,,
ang,"hap
",22.99614739,0.194882605,118,M,sharegpt4video-8b,Ses01M_script03_2_M026,0,,,,,,
ang,hap,1.793735981,0.015201152,118,M,VideoLLaMA2-7B,Ses01M_script03_2_M026,0,,,,,,
ang,hap,26.3417666,0.131053565,201,M,MiniCPM-V-2_6,Ses01M_script03_2_M027,0,,,,,,
ang,"hap
",41.87630558,0.208339829,201,M,sharegpt4video-8b,Ses01M_script03_2_M027,0,,,,,,
ang,hap,3.127016306,0.015557295,201,M,VideoLLaMA2-7B,Ses01M_script03_2_M027,0,,,,,,
ang,hap,11.11460114,0.129239548,86,M,MiniCPM-V-2_6,Ses01M_script03_2_M028,0,,,,,,
ang,"hap
",19.04768324,0.221484689,86,M,sharegpt4video-8b,Ses01M_script03_2_M028,0,,,,,,
ang,hap,1.688152313,0.019629678,86,M,VideoLLaMA2-7B,Ses01M_script03_2_M028,0,,,,,,
ang,hap,32.04498792,0.115269741,278,M,MiniCPM-V-2_6,Ses01M_script03_2_M029,0,,,,,,
ang,"hap
",58.59213114,0.210763062,278,M,sharegpt4video-8b,Ses01M_script03_2_M029,0,,,,,,
ang,hap,4.305810928,0.015488529,278,M,VideoLLaMA2-7B,Ses01M_script03_2_M029,0,,,,,,
ang,hap,44.77444506,0.119717768,374,M,MiniCPM-V-2_6,Ses01M_script03_2_M030,0,,,,,,
ang,"hap
",70.1344099,0.18752516,374,M,sharegpt4video-8b,Ses01M_script03_2_M030,0,,,,,,
ang,hap,5.395260096,0.014425829,374,M,VideoLLaMA2-7B,Ses01M_script03_2_M030,0,,,,,,
ang,fru,12.89189744,0.127642549,101,M,MiniCPM-V-2_6,Ses01M_script03_2_M031,0,,,,,,
ang,"hap
",22.00107884,0.217832464,101,M,sharegpt4video-8b,Ses01M_script03_2_M031,0,,,,,,
ang,sad,1.9193542,0.019003507,101,M,VideoLLaMA2-7B,Ses01M_script03_2_M031,0,,,,,,
ang,hap,20.62124157,0.117166145,176,M,MiniCPM-V-2_6,Ses01M_script03_2_M032,0,,,,,,
ang,"hap
",35.77133751,0.203246236,176,M,sharegpt4video-8b,Ses01M_script03_2_M032,0,,,,,,
ang,hap,2.840961695,0.016141828,176,M,VideoLLaMA2-7B,Ses01M_script03_2_M032,0,,,,,,
ang,fru,10.1711998,0.130399997,78,M,MiniCPM-V-2_6,Ses01M_script03_2_M033,0,,,,,,
ang,"hap
",17.68554521,0.226737759,78,M,sharegpt4video-8b,Ses01M_script03_2_M033,0,,,,,,
ang,neu,1.343331337,0.017222197,78,M,VideoLLaMA2-7B,Ses01M_script03_2_M033,0,,,,,,
ang,hap,9.865645885,0.102767145,96,M,MiniCPM-V-2_6,Ses01M_script03_2_M034,0,,,,,,
ang,"hap
",20.15893078,0.209988862,96,M,sharegpt4video-8b,Ses01M_script03_2_M034,0,,,,,,
ang,hap,1.843742132,0.019205647,96,M,VideoLLaMA2-7B,Ses01M_script03_2_M034,0,,,,,,
ang,hap,11.76986146,0.129339137,91,M,MiniCPM-V-2_6,Ses01M_script03_2_M035,0,,,,,,
ang,"hap
",20.26832557,0.222728852,91,M,sharegpt4video-8b,Ses01M_script03_2_M035,0,,,,,,
ang,hap,1.789465427,0.019664455,91,M,VideoLLaMA2-7B,Ses01M_script03_2_M035,0,,,,,,
ang,neu,12.89999342,0.11120684,116,M,MiniCPM-V-2_6,Ses01M_script03_2_M036,0,,,,,,
ang,"hap
",21.81202769,0.188034721,116,M,sharegpt4video-8b,Ses01M_script03_2_M036,0,,,,,,
ang,sad,1.875245094,0.016165906,116,M,VideoLLaMA2-7B,Ses01M_script03_2_M036,0,,,,,,
ang,hap,13.96914458,0.129343931,108,M,MiniCPM-V-2_6,Ses01M_script03_2_M037,0,,,,,,
ang,"hap
",23.10564518,0.213941159,108,M,sharegpt4video-8b,Ses01M_script03_2_M037,0,,,,,,
ang,hap,1.895966053,0.017555241,108,M,VideoLLaMA2-7B,Ses01M_script03_2_M037,0,,,,,,
ang,fru,7.759081602,0.12123565,64,M,MiniCPM-V-2_6,Ses01M_script03_2_M038,0,,,,,,
ang,"hap
",11.44132066,0.178770635,64,M,sharegpt4video-8b,Ses01M_script03_2_M038,0,,,,,,
ang,sad,0.862816095,0.013481501,64,M,VideoLLaMA2-7B,Ses01M_script03_2_M038,0,,,,,,
ang,hap,8.953564644,0.13566007,66,M,MiniCPM-V-2_6,Ses01M_script03_2_M039,0,,,,,,
ang,"hap
",15.36707878,0.232834527,66,M,sharegpt4video-8b,Ses01M_script03_2_M039,0,,,,,,
ang,hap,1.446810007,0.021921364,66,M,VideoLLaMA2-7B,Ses01M_script03_2_M039,0,,,,,,
ang,hap,29.95702958,0.130816723,229,M,MiniCPM-V-2_6,Ses01M_script03_2_M040,0,,,,,,
ang,"hap
",46.6230011,0.203593891,229,M,sharegpt4video-8b,Ses01M_script03_2_M040,0,,,,,,
ang,hap,3.614694595,0.015784693,229,M,VideoLLaMA2-7B,Ses01M_script03_2_M040,0,,,,,,
ang,hap,8.697750092,0.126054349,69,M,MiniCPM-V-2_6,Ses01M_script03_2_M041,0,,,,,,
ang,"hap
",15.03163409,0.217849769,69,M,sharegpt4video-8b,Ses01M_script03_2_M041,0,,,,,,
ang,hap,1.458272457,0.021134383,69,M,VideoLLaMA2-7B,Ses01M_script03_2_M041,0,,,,,,
ang,hap,6.926153183,0.133195254,52,M,MiniCPM-V-2_6,Ses01M_script03_2_M042,0,,,,,,
ang,"hap
",11.13949561,0.214221069,52,M,sharegpt4video-8b,Ses01M_script03_2_M042,0,,,,,,
ang,hap,0.982901573,0.018901953,52,M,VideoLLaMA2-7B,Ses01M_script03_2_M042,0,,,,,,
ang,hap,53.37083864,0.124407549,429,M,MiniCPM-V-2_6,Ses01M_script03_2_M043,0,,,,,,
ang,"hap
",86.09923291,0.200697513,429,M,sharegpt4video-8b,Ses01M_script03_2_M043,0,,,,,,
ang,hap,6.452136278,0.015039945,429,M,VideoLLaMA2-7B,Ses01M_script03_2_M043,0,,,,,,
fru,neu,12.03378057,0.128018942,94,F,MiniCPM-V-2_6,Ses01F_script01_1_F000,0,,,,,,
fru,"hap
",20.39412618,0.216958789,94,F,sharegpt4video-8b,Ses01F_script01_1_F000,0,,,,,,
fru,neu,1.64093399,0.017456745,94,F,VideoLLaMA2-7B,Ses01F_script01_1_F000,0,,,,,,
xxx,neu,12.97587299,0.121269841,107,F,MiniCPM-V-2_6,Ses01F_script01_1_F001,0,,,,,,
xxx,"hap
",21.41469717,0.200137357,107,F,sharegpt4video-8b,Ses01F_script01_1_F001,0,,,,,,
xxx,neu,1.783509016,0.016668309,107,F,VideoLLaMA2-7B,Ses01F_script01_1_F001,0,,,,,,
sur,neu,20.62257719,0.13052264,158,F,MiniCPM-V-2_6,Ses01F_script01_1_F002,0,,,,,,
sur,"hap
",33.28670788,0.210675366,158,F,sharegpt4video-8b,Ses01F_script01_1_F002,0,,,,,,
sur,neu,2.312131882,0.014633746,158,F,VideoLLaMA2-7B,Ses01F_script01_1_F002,0,,,,,,
xxx,neu,8.292429686,0.115172635,72,F,MiniCPM-V-2_6,Ses01F_script01_1_F003,0,,,,,,
xxx,"hap
",16.04836416,0.222893947,72,F,sharegpt4video-8b,Ses01F_script01_1_F003,0,,,,,,
xxx,neu,1.259146929,0.017488152,72,F,VideoLLaMA2-7B,Ses01F_script01_1_F003,0,,,,,,
xxx,neu,14.42779899,0.128819634,112,F,MiniCPM-V-2_6,Ses01F_script01_1_F004,0,,,,,,
xxx,"hap
",23.77215958,0.212251425,112,F,sharegpt4video-8b,Ses01F_script01_1_F004,0,,,,,,
xxx,neu,1.744815826,0.015578713,112,F,VideoLLaMA2-7B,Ses01F_script01_1_F004,0,,,,,,
neu,neu,17.38758779,0.11669522,149,F,MiniCPM-V-2_6,Ses01F_script01_1_F005,1,,,,,,
neu,"hap
",30.10762739,0.202064613,149,F,sharegpt4video-8b,Ses01F_script01_1_F005,0,,,,,,
neu,neu,2.503070593,0.016799131,149,F,VideoLLaMA2-7B,Ses01F_script01_1_F005,1,,,,,,
xxx,neu,20.80123949,0.128402713,162,F,MiniCPM-V-2_6,Ses01F_script01_1_F006,0,,,,,,
xxx,"hap
",32.15796614,0.198505964,162,F,sharegpt4video-8b,Ses01F_script01_1_F006,0,,,,,,
xxx,neu,2.530576229,0.015620841,162,F,VideoLLaMA2-7B,Ses01F_script01_1_F006,0,,,,,,
xxx,neu,7.176877737,0.121641996,59,F,MiniCPM-V-2_6,Ses01F_script01_1_F007,0,,,,,,
xxx,"hap
",12.45905328,0.211170395,59,F,sharegpt4video-8b,Ses01F_script01_1_F007,0,,,,,,
xxx,neu,0.922356606,0.015633163,59,F,VideoLLaMA2-7B,Ses01F_script01_1_F007,0,,,,,,
xxx,neu,11.96688437,0.128676176,93,F,MiniCPM-V-2_6,Ses01F_script01_1_F008,0,,,,,,
xxx,"hap
",20.83111858,0.223990522,93,F,sharegpt4video-8b,Ses01F_script01_1_F008,0,,,,,,
xxx,neu,1.915869951,0.020600752,93,F,VideoLLaMA2-7B,Ses01F_script01_1_F008,0,,,,,,
fru,neu,11.85060859,0.122171223,97,F,MiniCPM-V-2_6,Ses01F_script01_1_F009,0,,,,,,
fru,"hap
",17.90272307,0.184564155,97,F,sharegpt4video-8b,Ses01F_script01_1_F009,0,,,,,,
fru,neu,1.817783833,0.01874004,97,F,VideoLLaMA2-7B,Ses01F_script01_1_F009,0,,,,,,
fru,neu,8.884407759,0.132603101,67,F,MiniCPM-V-2_6,Ses01F_script01_1_F010,0,,,,,,
fru,"hap
",16.41837788,0.245050416,67,F,sharegpt4video-8b,Ses01F_script01_1_F010,0,,,,,,
fru,neu,1.441447496,0.021514142,67,F,VideoLLaMA2-7B,Ses01F_script01_1_F010,0,,,,,,
fru,neu,17.47562385,0.130415103,134,F,MiniCPM-V-2_6,Ses01F_script01_1_F011,0,,,,,,
fru,"hap
",26.1804502,0.195376494,134,F,sharegpt4video-8b,Ses01F_script01_1_F011,0,,,,,,
fru,neu,2.198700905,0.016408216,134,F,VideoLLaMA2-7B,Ses01F_script01_1_F011,0,,,,,,
fru,neu,46.76079559,0.13322164,351,F,MiniCPM-V-2_6,Ses01F_script01_1_F012,0,,,,,,
fru,"hap
",73.21136069,0.208579375,351,F,sharegpt4video-8b,Ses01F_script01_1_F012,0,,,,,,
fru,neu,5.417108774,0.015433358,351,F,VideoLLaMA2-7B,Ses01F_script01_1_F012,0,,,,,,
xxx,neu,28.87571836,0.120818905,239,F,MiniCPM-V-2_6,Ses01F_script01_1_F013,0,,,,,,
xxx,"hap
",49.90790606,0.208819691,239,F,sharegpt4video-8b,Ses01F_script01_1_F013,0,,,,,,
xxx,neu,3.205810547,0.013413433,239,F,VideoLLaMA2-7B,Ses01F_script01_1_F013,0,,,,,,
fru,neu,8.270625591,0.113296241,73,F,MiniCPM-V-2_6,Ses01F_script01_1_F014,0,,,,,,
fru,"hap
",15.16898704,0.207794343,73,F,sharegpt4video-8b,Ses01F_script01_1_F014,0,,,,,,
fru,neu,1.167227745,0.015989421,73,F,VideoLLaMA2-7B,Ses01F_script01_1_F014,0,,,,,,
neu,neu,17.32169795,0.127365426,136,F,MiniCPM-V-2_6,Ses01F_script01_1_F015,1,,,,,,
neu,"hap
",29.92004967,0.220000365,136,F,sharegpt4video-8b,Ses01F_script01_1_F015,0,,,,,,
neu,neu,2.199279308,0.016171171,136,F,VideoLLaMA2-7B,Ses01F_script01_1_F015,1,,,,,,
xxx,neu,12.98267579,0.110022676,118,F,MiniCPM-V-2_6,Ses01F_script01_1_F016,0,,,,,,
xxx,"hap
",21.93532467,0.185892582,118,F,sharegpt4video-8b,Ses01F_script01_1_F016,0,,,,,,
xxx,neu,1.728025675,0.014644285,118,F,VideoLLaMA2-7B,Ses01F_script01_1_F016,0,,,,,,
xxx,neu,14.8159914,0.126632405,117,F,MiniCPM-V-2_6,Ses01F_script01_1_F017,0,,,,,,
xxx,"hap
",24.40874195,0.208621726,117,F,sharegpt4video-8b,Ses01F_script01_1_F017,0,,,,,,
xxx,neu,1.74314642,0.014898687,117,F,VideoLLaMA2-7B,Ses01F_script01_1_F017,0,,,,,,
xxx,neu,10.36781168,0.121974255,85,F,MiniCPM-V-2_6,Ses01F_script01_1_F018,0,,,,,,
xxx,"hap
",16.86407495,0.198400882,85,F,sharegpt4video-8b,Ses01F_script01_1_F018,0,,,,,,
xxx,neu,1.415753365,0.016655922,85,F,VideoLLaMA2-7B,Ses01F_script01_1_F018,0,,,,,,
xxx,neu,7.555874109,0.11993451,63,F,MiniCPM-V-2_6,Ses01F_script01_1_F019,0,,,,,,
xxx,"hap
",13.12504601,0.208334064,63,F,sharegpt4video-8b,Ses01F_script01_1_F019,0,,,,,,
